"books_sold","weeks_best_seller","n_books_published","genre","page_numbers","publication_year"
1643,4,1,"Science Fiction",271,12
1768,5,2,"Science Fiction",214,9
1801,6,1,"Romance",232,9
1638,5,3,"Science Fiction",305,10
1499,4,4,"Science Fiction",142,13
1498,4,4,"Mystery",409,15
1822,5,3,"Science Fiction",284,7
1666,3,1,"Science Fiction",455,11
1713,5,3,"Science Fiction",309,8
1878,6,2,"Mystery",400,6
1540,3,1,"Science Fiction",440,14
1458,3,6,"Mystery",329,16
1597,4,3,"Science Fiction",317,12
1710,5,2,"Mystery",377,11
989,2,2,"Science Fiction",146,44
1535,3,1,"Science Fiction",342,12
1924,5,3,"Science Fiction",302,6
1791,4,5,"Mystery",373,7
1657,4,5,"Science Fiction",455,13
1723,6,2,"Science Fiction",258,10
2206,8,1,"Mystery",228,5
1616,4,4,"Mystery",246,10
1987,6,8,"Romance",306,7
1533,3,4,"Romance",424,12
1706,4,6,"Science Fiction",246,10
1803,5,3,"Romance",369,10
1717,5,2,"Science Fiction",230,10
2144,6,4,"Romance",412,7
1492,2,3,"Science Fiction",464,13
1804,4,2,"Mystery",339,9
1491,3,2,"Mystery",334,15
1582,5,2,"Romance",498,11
1040,4,1,"Mystery",69,38
1555,4,4,"Science Fiction",195,13
1333,3,4,"Mystery",197,20
1711,5,5,"Science Fiction",414,10
1469,2,7,"Mystery",487,15
1531,3,2,"Romance",241,13
1985,5,3,"Science Fiction",301,7
1859,5,5,"Science Fiction",330,10
1604,4,2,"Science Fiction",272,10
1586,5,3,"Romance",189,11
1671,4,2,"Science Fiction",329,11
1941,6,0,"Science Fiction",347,9
1621,4,2,"Mystery",244,11
1700,5,4,"Romance",272,11
1905,4,1,"Romance",405,9
1671,4,1,"Mystery",417,11
1899,5,4,"Mystery",290,7
1653,4,4,"Mystery",439,10
1804,5,2,"Science Fiction",297,9
1656,3,4,"Mystery",331,11
1402,3,2,"Mystery",205,17
1774,5,2,"Science Fiction",327,9
1741,5,1,"Science Fiction",440,9
1830,6,3,"Science Fiction",227,9
1572,7,7,"Mystery",156,10
1325,1,5,"Mystery",389,20
1966,6,4,"Romance",330,7
1826,7,8,"Mystery",161,11
1579,4,6,"Mystery",250,13
1764,5,2,"Science Fiction",378,9
1565,3,2,"Mystery",373,14
1772,4,5,"Mystery",350,10
2048,6,1,"Romance",391,7
1516,4,3,"Mystery",234,14
1710,4,5,"Mystery",436,9
1831,6,3,"Science Fiction",524,9
1652,3,3,"Science Fiction",318,10
1245,2,6,"Mystery",193,21
1731,3,4,"Romance",340,10
2072,7,3,"Mystery",347,7
1542,3,2,"Mystery",231,13
1767,7,3,"Science Fiction",204,8
1494,5,2,"Science Fiction",512,12
1364,2,0,"Mystery",420,19
1625,3,2,"Romance",246,12
1763,4,5,"Mystery",267,8
1702,4,2,"Science Fiction",538,8
1624,4,2,"Science Fiction",368,15
1327,5,3,"Romance",587,20
1930,6,1,"Mystery",348,7
1553,4,1,"Science Fiction",433,13
1485,2,5,"Science Fiction",471,15
1596,4,0,"Mystery",402,12
1939,7,3,"Science Fiction",291,8
1723,5,2,"Science Fiction",289,11
2068,7,4,"Mystery",366,6
1782,5,5,"Science Fiction",386,9
1387,4,3,"Romance",156,17
1776,5,2,"Science Fiction",413,8
1503,3,2,"Science Fiction",446,15
1287,4,2,"Mystery",517,21
1490,4,1,"Science Fiction",467,14
1732,4,2,"Science Fiction",318,10
1633,4,1,"Mystery",404,10
1791,5,5,"Science Fiction",277,9
2211,7,4,"Science Fiction",390,6
1791,5,2,"Science Fiction",342,9
1828,6,9,"Science Fiction",320,8
1659,5,4,"Mystery",359,10
1816,5,2,"Science Fiction",387,10
1727,5,1,"Mystery",268,10
1749,4,1,"Science Fiction",371,11
1654,4,0,"Science Fiction",400,11
1645,5,3,"Science Fiction",444,12
1278,3,3,"Science Fiction",490,22
