"participant","minutes","n_previous_marathons","age","gender","hills","weather"
169,318,6,36,"Male",-999,"Cloudy"
570,329,10,52,"Female",12,"Sunny"
92,265,8,13,"Male",14,"Cloudy"
348,298,6,32,"Female",4,"Cloudy"
165,293,6,24,"Female",9,"Cloudy"
555,453,7,58,"Female",15,"Light Rain"
82,380,8,37,"Female",12,"Sunny"
378,283,5,22,"Male",7,"Cloudy"
59,261,10,10,"Male",11,"Heavy Rain"
257,392,4,34,"Male",9,"Cloudy"
81,308,5,35,"Male",7,"Sunny"
298,277,4,16,"Female",14,"Sunny"
425,260,10,35,"Male",8,"Cloudy"
223,261,8,28,"Male",11,"Cloudy"
294,262,10,32,"Female",6,"Sunny"
87,300,13,40,"Female",11,"Heavy Rain"
346,315,6,44,"Female",8,"Cloudy"
572,230,11,36,"Female",14,"Cloudy"
50,233,10,33,"Female",9,"Sunny"
203,384,8,45,"Female",7,"Sunny"
534,348,9,50,"Male",12,"Sunny"
395,300,4,20,"Male",8,"Light Rain"
172,288,5,32,"Male",14,"Sunny"
362,349,5,49,"Female",8,"Sunny"
170,387,5,46,"Female",8,"Light Rain"
498,367,3,31,"Male",10,"Cloudy"
496,234,14,43,"Female",9,"Light Rain"
563,229,9,21,"Other",7,"Cloudy"
38,413,5,33,"Female",13,"Heavy Rain"
63,383,6,38,"Female",10,"Sunny"
175,258,8,33,"Male",4,"Light Rain"
187,358,5,44,"Female",13,"Sunny"
103,302,7,29,"Female",7,"Cloudy"
452,350,6,34,"Male",5,"Sunny"
460,373,4,33,"Male",7,"Sunny"
539,300,7,36,"Male",8,"Cloudy"
422,201,8,18,"Male",7,"Sunny"
513,271,10,34,"Female",6,"Cloudy"
52,198,6,15,"Male",13,"Cloudy"
405,283,6,21,"Female",7,"Light Rain"
268,310,6,41,"Female",8,"Cloudy"
33,228,8,28,"Male",11,"Sunny"
292,455,4,40,"Female",7,"Cloudy"
121,392,8,53,"Male",10,"Cloudy"
365,308,6,13,"Female",6,"Cloudy"
354,377,4,20,"Female",14,"Sunny"
404,308,7,36,"Female",6,"Sunny"
440,325,4,45,"Male",9,"Cloudy"
424,280,6,20,"Female",8,"Sunny"
34,403,9,50,"Female",7,"Sunny"
264,274,12,50,"Male",9,"Light Rain"
566,356,8,61,"Female",6,"Light Rain"
355,352,8,40,"Other",13,"Cloudy"
595,256,4,40,"Other",9,"Cloudy"
159,344,6,37,"Female",8,"Sunny"
274,403,4,38,"Female",11,"Cloudy"
392,415,5,47,"Female",14,"Sunny"
4,250,10,24,"Male",11,"Cloudy"
308,283,2,21,"Female",10,"Sunny"
278,453,7,36,"Female",12,"Sunny"
56,463,5,38,"Female",13,"Sunny"
315,382,6,46,"Female",9,"Cloudy"
213,386,5,44,"Female",14,"Sunny"
400,213,14,19,"Female",14,"Sunny"
291,215,5,7,"Female",7,"Sunny"
305,327,8,43,"Male",11,"Sunny"
22,365,8,47,"Female",7,"Sunny"
530,317,6,21,"Female",11,"Light Rain"
160,378,5,32,"Female",6,"Sunny"
565,424,8,33,"Female",15,"Light Rain"
99,240,7,22,"Female",11,"Sunny"
89,257,10,31,"Female",6,"Sunny"
575,327,12,50,"Female",8,"Cloudy"
503,346,5,44,"Female",5,"Cloudy"
285,424,3,25,"Female",14,"Cloudy"
192,347,6,49,"Female",9,"Sunny"
512,398,4,19,"Female",11,"Sunny"
251,475,5,43,"Female",19,"Sunny"
14,296,7,29,"Male",9,"Light Rain"
13,220,8,18,"Male",12,"Sunny"
46,369,4,17,"Female",10,"Sunny"
507,279,7,34,"Female",7,"Cloudy"
12,418,7,43,"Female",6,"Sunny"
204,334,7,43,"Female",11,"Cloudy"
470,327,9,50,"Female",10,"Sunny"
340,211,13,30,"Female",13,"Sunny"
254,365,5,37,"Female",13,"Cloudy"
519,382,3,26,"Female",10,"Cloudy"
450,416,8,39,"Female",12,"Cloudy"
583,308,10,33,"Male",7,"Cloudy"
398,428,4,34,"Female",11,"Cloudy"
326,345,3,44,"Female",8,"Sunny"
101,325,8,34,"Female",3,"Cloudy"
209,363,4,37,"Female",11,"Cloudy"
265,272,7,23,"Female",8,"Light Rain"
104,291,12,35,"Male",12,"Sunny"
299,474,4,47,"Female",10,"Light Rain"
226,414,6,41,"Female",12,"Sunny"
235,443,5,54,"Other",5,"Cloudy"
592,423,3,41,"Female",2,"Light Rain"
173,230,10,22,"Female",11,"Cloudy"
494,200,8,38,"Female",6,"Cloudy"
523,391,6,34,"Female",14,"Sunny"
380,257,12,28,"Male",6,"Cloudy"
442,307,7,45,"Male",10,"Light Rain"
469,351,5,32,"Female",7,"Sunny"
234,302,3,36,"Female",4,"Cloudy"
