"Brand","USB_ports","Size","Age","Sold_Worldwide","Price"
"HP",2,"Large",2,742,586
"MSI",2,"Medium",1,844,745
"HP",3,"Large",2,660,518
"MSI",2,"Large",1,1011,770
"MSI",0,"Large",4,525,361
"HP",0,"Medium",1,1082,695
"HP",1,"Large",3,870,491
"HP",3,"Medium",1,982,693
"MSI",3,"Large",0,1067,946
"HP",2,"Small",0,1380,819
"HP",3,"Small",1,890,508
"MSI",3,"Medium",3,1102,612
"MSI",2,"Large",1,1143,812
"HP",2,"Large",4,779,397
"HP",4,"Medium",2,1381,690
"HP",3,"Medium",0,1279,906
"MSI",4,"Medium",2,986,646
"HP",4,"Medium",4,635,318
"HP",1,"Medium",5,826,242
"MSI",3,"Medium",2,881,609
"MSI",3,"Large",2,567,559
"HP",2,"Medium",0,977,792
"HP",4,"Small",1,906,610
"HP",5,"Medium",0,1130,849
"MSI",2,"Small",3,1299,509
"Apple",1,"Large",2,822,674
"HP",1,"Small",0,839,626
"HP",0,"Medium",6,1112,249
"MSI",1,"Small",5,1011,250
"HP",1,"Large",3,962,581
"HP",2,"Large",3,1033,575
"MSI",0,"Medium",2,1170,610
"HP",1,"Medium",3,827,458
"MSI",1,"Medium",0,967,832
"HP",1,"Large",2,1061,673
"MSI",6,"Medium",3,916,518
"HP",0,"Medium",4,860,409
"HP",3,"Medium",5,1158,370
"HP",0,"Medium",2,1485,760
"HP",3,"Medium",1,779,591
"HP",2,"Medium",2,1268,711
"MSI",0,"Medium",2,967,626
"HP",0,"Large",3,1022,546
"HP",2,"Medium",1,805,607
"HP",1,"Small",1,1296,737
"HP",2,"Small",2,839,455
"MSI",0,"Large",2,1291,778
"HP",1,"Medium",5,1066,319
"HP",3,"Medium",1,1086,731
"MSI",2,"Large",6,1212,348
"MSI",2,"Large",0,967,903
"HP",3,"Large",3,1223,618
"MSI",2,"Large",1,980,822
"MSI",1,"Medium",6,1059,221
"HP",2,"Medium",2,835,526
"Apple",2,"Small",6,826,105
"HP",1,"Large",1,813,680
"MSI",2,"Medium",1,1194,855
"MSI",4,"Medium",0,1331,996
"Apple",3,"Large",3,713,608
"MSI",0,"Medium",2,1208,745
"HP",1,"Large",4,801,366
"HP",1,"Medium",0,962,766
"HP",2,"Medium",2,662,527
"HP",2,"Large",2,1046,654
